Emotion;Emotion_Value;File;Predominant_Color;Number_Of_Colors;Surface_Colored
Negative;1;audio_1.wav;lime;2;26.3
Negative;1;audio_10.wav;sienna;6;17.7
Positive;0;audio_100.wav;blue;6;8.6
Positive;0;audio_101.wav;blue;6;31.6
Positive;0;audio_102.wav;red;1;11.1
Positive;0;audio_103.wav;lime;1;1.2
Positive;0;audio_104.wav;red;1;6.1
Positive;0;audio_105.wav;lime;10;22.9
Positive;0;audio_106.wav;darkcyan;9;48.8
Positive;0;audio_107.wav;black;1;0.9
Positive;0;audio_108.wav;lime;6;42.8
Positive;0;audio_109.wav;yellow;5;34.2
Positive;0;audio_11.wav;yellow;4;6.8
Negative;1;audio_110.wav;palevioletred;8;32.1
Positive;0;audio_111.wav;lime;6;8.5
Negative;1;audio_112.wav;blue;5;42.2
Positive;0;audio_113.wav;blue;5;20.4
Positive;0;audio_114.wav;darkcyan;10;30.8
Positive;0;audio_117.wav;indianred;7;40.4
Positive;0;audio_118.wav;black;1;12.7
Positive;0;audio_12.wav;yellowgreen;11;13.7
Negative;1;audio_120.wav;red;5;5.6
Negative;1;audio_121.wav;black;2;28.6
Positive;0;audio_122.wav;lime;6;5.2
Negative;1;audio_123.wav;red;5;36.2
Negative;1;audio_124.wav;red;2;7.1
Negative;1;audio_125.wav;lime;6;24.5
Negative;1;audio_126.wav;blue;10;8.6
Negative;1;audio_127.wav;yellowgreen;1;5.3
Negative;1;audio_128.wav;indianred;10;33.6
Negative;1;audio_129.wav;red;1;5.7
Positive;0;audio_13.wav;yellow;4;4.8
Negative;1;audio_130.wav;blue;9;17.0
Negative;1;audio_131.wav;lime;3;3.1
Positive;0;audio_133.wav;red;3;8.8
Negative;1;audio_134.wav;black;1;40.2
Negative;1;audio_135.wav;black;3;2.4
Negative;1;audio_136.wav;lime;3;5.8
Positive;0;audio_137.wav;blue;4;2.2
Positive;0;audio_138.wav;coral;8;28.5
Positive;0;audio_139.wav;black;6;57.0
Positive;0;audio_14.wav;indianred;3;12.4
Negative;1;audio_140.wav;yellow;5;6.7
Negative;1;audio_141.wav;yellow;5;8.0
Negative;1;audio_142.wav;lime;1;0.7
Negative;1;audio_143.wav;red;3;2.7
Negative;1;audio_144.wav;lime;4;2.8
Negative;1;audio_145.wav;lime;1;11.3
Positive;0;audio_146.wav;lime;7;15.0
Negative;1;audio_147.wav;black;5;6.3
Negative;1;audio_148.wav;yellow;8;26.3
Negative;1;audio_149.wav;coral;8;9.2
Positive;0;audio_15.wav;palevioletred;4;5.6
Positive;0;audio_150.wav;lime;5;14.0
Positive;0;audio_151.wav;indianred;1;7.4
Negative;1;audio_152.wav;lime;5;3.2
Positive;0;audio_153.wav;lime;4;14.9
Positive;0;audio_154.wav;blue;4;8.1
Positive;0;audio_155.wav;red;3;30.7
Positive;0;audio_156.wav;blue;2;12.2
Positive;0;audio_157.wav;red;3;28.6
Positive;0;audio_158.wav;red;5;9.0
Negative;1;audio_159.wav;black;7;16.5
Positive;0;audio_160.wav;black;5;43.8
Negative;1;audio_161.wav;yellow;7;13.7
Positive;0;audio_162.wav;midnightblue;2;16.7
Positive;0;audio_163.wav;black;5;27.2
Positive;0;audio_164.wav;darksalmon;4;7.8
Negative;1;audio_165.wav;black;5;12.7
Positive;0;audio_166.wav;yellow;4;5.4
Positive;0;audio_167.wav;blue;4;32.6
Negative;1;audio_169.wav;red;3;7.2
Positive;0;audio_170.wav;lime;4;15.4
Positive;0;audio_171.wav;sienna;4;24.5
Positive;0;audio_172.wav;blue;10;40.3
Positive;0;audio_173.wav;black;2;5.9
Negative;1;audio_174.wav;red;2;95.1
Negative;1;audio_175.wav;red;2;57.6
Negative;1;audio_176.wav;red;2;96.5
Negative;1;audio_177.wav;red;2;26.1
Negative;1;audio_178.wav;darkturquoise;6;31.4
Positive;0;audio_179.wav;darksalmon;5;9.8
Negative;1;audio_18.wav;lime;4;2.0
Negative;1;audio_180.wav;blue;4;13.0
Positive;0;audio_181.wav;darkgray;4;19.9
Negative;1;audio_182.wav;darkgray;5;16.1
Positive;0;audio_185.wav;black;2;14.4
Negative;1;audio_186.wav;palevioletred;8;23.5
Negative;1;audio_187.wav;red;4;20.8
Positive;0;audio_188.wav;blue;10;17.8
Negative;1;audio_189.wav;lime;10;7.2
Negative;1;audio_19.wav;lime;1;3.9
Negative;1;audio_190.wav;yellow;3;5.2
Positive;0;audio_191.wav;yellow;9;6.8
Negative;1;audio_192.wav;lime;10;7.6
Negative;1;audio_193.wav;lime;7;28.0
Negative;1;audio_195.wav;lime;5;4.3
Negative;1;audio_196.wav;blue;5;7.2
Positive;0;audio_197.wav;palevioletred;1;0.7
Negative;1;audio_198.wav;indianred;11;11.2
Positive;0;audio_199.wav;forestgreen;7;3.8
Positive;0;audio_2.wav;lime;6;51.9
Negative;1;audio_20.wav;yellow;3;0.8
Positive;0;audio_200.wav;red;2;5.9
Positive;0;audio_201.wav;darkgray;6;14.5
Negative;1;audio_202.wav;red;3;24.3
Negative;1;audio_203.wav;lime;1;14.3
Negative;1;audio_204.wav;dimgray;10;40.8
Positive;0;audio_205.wav;yellow;2;4.0
Positive;0;audio_206.wav;black;4;15.9
Negative;1;audio_207.wav;palevioletred;1;1.4
Positive;0;audio_209.wav;lime;3;18.6
Negative;1;audio_21.wav;blue;6;44.2
Positive;0;audio_210.wav;lime;3;12.5
Negative;1;audio_211.wav;gold;5;16.0
Negative;1;audio_213.wav;gold;9;17.0
Negative;1;audio_214.wav;lightslategray;6;14.6
Negative;1;audio_215.wav;dimgray;9;11.8
Positive;0;audio_216.wav;lime;6;13.8
Positive;0;audio_22.wav;yellow;11;21.8
Negative;1;audio_221.wav;red;1;6.9
Negative;1;audio_223.wav;coral;5;37.9
Positive;0;audio_224.wav;indianred;3;12.5
Negative;1;audio_225.wav;red;1;9.4
Negative;1;audio_226.wav;coral;1;17.8
Negative;1;audio_227.wav;black;1;5.9
Negative;1;audio_228.wav;red;1;2.6
Positive;0;audio_229.wav;steelblue;6;14.7
Negative;1;audio_23.wav;red;7;4.8
Positive;0;audio_230.wav;darkturquoise;7;30.2
Positive;0;audio_231.wav;black;3;6.1
Negative;1;audio_232.wav;blue;4;2.4
